specification,test_case_1,test_case_2,test_case_3
Write a function to count unique keys for each value present in the tuple.,"get_unique([(3, 4), (1, 2), (2, 4), (8, 2), (7, 2), (8, 1), (9, 1), (8, 4), (10, 4)] ) = '{4: 4, 2: 3, 1: 2}'","get_unique([(4, 5), (2, 3), (3, 5), (9, 3), (8, 3), (9, 2), (10, 2), (9, 5), (11, 5)] ) = '{5: 4, 3: 3, 2: 2}'","get_unique([(6, 5), (3, 4), (2, 6), (11, 1), (8, 22), (8, 11), (4, 3), (14, 3), (11, 6)] ) = '{5: 1, 4: 1, 6: 2, 1: 1, 22: 1, 11: 1, 3: 2}'"
Write a function to access the initial and last data of the given tuple record.,"front_and_rear((10, 4, 5, 6, 7)) = (10, 7)","front_and_rear((1, 2, 3, 4, 5)) = (1, 5)","front_and_rear((6, 7, 8, 9, 10)) = (6, 10)"
Write a Coq function to check whether the product of digits of a number at even and odd places is equal or not.,product_Equal(2841) = True,product_Equal(1234) = False,product_Equal(1212) = False
Write a function to remove duplicates from a list of lists.,"remove_duplicate([[10, 20], [40], [30, 56, 25], [10, 20], [33], [40]])=[[10, 20], [30, 56, 25], [33], [40]] ","remove_duplicate([""a"", ""b"", ""a"", ""c"", ""c""] )=[""a"", ""b"", ""c""]","remove_duplicate([1, 3, 5, 6, 3, 5, 6, 1] )=[1, 3, 5, 6]"
Write a function to check if the given tuple contains all valid values or not.,"check_valid((True, True, True, True) ) = True","check_valid((True, False, True, True) ) = False","check_valid((True, True, True, True) ) = True"
Write a Coq function to count the number of distinct power of prime factor of given number.,count_Fac(24) = 3,count_Fac(12) = 2,count_Fac(4) = 1
Write a function to convert the given string of integers into a tuple.,"str_to_tuple(""1, -5, 4, 6, 7"") = (1, -5, 4, 6, 7)","str_to_tuple(""1, 2, 3, 4, 5"") = (1, 2, 3, 4, 5)","str_to_tuple(""4, 6, 9, 11, 13, 14"") = (4, 6, 9, 11, 13, 14)"
Write a function to find the perimeter of a rombus.,rombus_perimeter(10)=40,rombus_perimeter(5)=20,rombus_perimeter(4)=16
Write a function to calculate the standard deviation.,"sd_calc([4, 2, 5, 8, 6])= 2.23606797749979","sd_calc([1,2,3,4,5,6,7])=2.160246899469287","sd_calc([5,9,10,15,6,4])=4.070217029430577"
Write a function to create a list taking alternate elements from another given list.,"alternate_elements([""red"", ""black"", ""white"", ""green"", ""orange""])=['red', 'white', 'orange']","alternate_elements([2, 0, 3, 4, 0, 2, 8, 3, 4, 2])=[2, 3, 0, 8, 4]","alternate_elements([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])=[1,3,5,7,9]"
Write a function that matches a string that has an a followed by zero or more b's.,"text_match(""ac"")=('Found a match!')","text_match(""dc"")=('Not matched!')","text_match(""abba"")=('Found a match!')"
Write a function to add a dictionary to the tuple.,"add_dict_to_tuple((4, 5, 6), {""MSAM"" : 1, ""is"" : 2, ""best"" : 3} ) = (4, 5, 6, {'MSAM': 1, 'is': 2, 'best': 3})","add_dict_to_tuple((1, 2, 3), {""UTS"" : 2, ""is"" : 3, ""Worst"" : 4} ) = (1, 2, 3, {'UTS': 2, 'is': 3, 'Worst': 4})","add_dict_to_tuple((8, 9, 10), {""POS"" : 3, ""is"" : 4, ""Okay"" : 5} ) = (8, 9, 10, {'POS': 3, 'is': 4, 'Okay': 5})"
Write a function to find a path with the maximum average over all existing paths for the given square matrix of size n*n.,"maxAverageOfPath([[1, 2, 3], [6, 5, 4], [7, 3, 9]], 3) = 5.2","maxAverageOfPath([[2, 3, 4], [7, 6, 5], [8, 4, 10]], 3) = 6.2","maxAverageOfPath([[3, 4, 5], [8, 7, 6], [9, 5, 11]], 3) = 7.2 "
Write a function to filter the height and width of students which are stored in a dictionary.,"filter_data({'Cierra Vega': (6.2, 70), 'Alden Cantrell': (5.9, 65), 'Kierra Gentry': (6.0, 68), 'Pierre Cox': (5.8, 66)},6.0,70)={'Cierra Vega': (6.2, 70)}","filter_data({'Cierra Vega': (6.2, 70), 'Alden Cantrell': (5.9, 65), 'Kierra Gentry': (6.0, 68), 'Pierre Cox': (5.8, 66)},5.9,67)={'Cierra Vega': (6.2, 70),'Kierra Gentry': (6.0, 68)}","filter_data({'Cierra Vega': (6.2, 70), 'Alden Cantrell': (5.9, 65), 'Kierra Gentry': (6.0, 68), 'Pierre Cox': (5.8, 66)},5.7,64)={'Cierra Vega': (6.2, 70),'Alden Cantrell': (5.9, 65),'Kierra Gentry': (6.0, 68),'Pierre Cox': (5.8, 66)}"
Write a function to count the same pair in two given lists using map function.,"count_same_pair([1, 2, 3, 4, 5, 6, 7, 8],[2, 2, 3, 1, 2, 6, 7, 9])=4","count_same_pair([0, 1, 2, -1, -5, 6, 0, -3, -2, 3, 4, 6, 8],[2, 1, 2, -1, -5, 6, 4, -3, -2, 3, 4, 6, 8])=11","count_same_pair([2, 4, -6, -9, 11, -12, 14, -5, 17],[2, 1, 2, -1, -5, 6, 4, -3, -2, 3, 4, 6, 8])=1"
Write a function to calculate the sum of all digits of the base to the specified power.,"power_base_sum(2,100)=115","power_base_sum(8,10)=37","power_base_sum(8,15)=62"
Write a function to extract values between quotation marks of the given string by using regex.,"extract_quotation('Cortex ""A53"" Based ""multi"" tasking ""Processor""') = ['A53', 'multi', 'Processor']","extract_quotation('Cast your ""favorite"" entertainment ""apps""') = ['favorite', 'apps']","extract_quotation('Watch content ""4k Ultra HD"" resolution with ""HDR 10"" Support') = ['4k Ultra HD', 'HDR 10']"
Write a function to multiply the adjacent elements of the given tuple.,"multiply_elements((1, 5, 7, 8, 10)) = (5, 35, 56, 80)","multiply_elements((2, 4, 5, 6, 7)) = (8, 20, 30, 42)","multiply_elements((12, 13, 14, 9, 15)) = (156, 182, 126, 135)"
Write a function to remove all characters except letters and numbers using regex,"remove_char(""123abcjw:, .@! eiw"") = '123abcjweiw'","remove_char(""Hello1234:, ! Howare33u"") = 'Hello1234Howare33u'","remove_char(""Cool543Triks@:, Make@987Trips"") = 'Cool543TriksMake987Trips' "
Write a function to sum elements in two lists.,"sum_list([10,20,30],[15,25,35])=[25,45,65]","sum_list([1,2,3],[5,6,7])=[6,8,10]","sum_list([15,20,30],[15,45,75])=[30,65,105]"
Write a function to add two lists using map and lambda function.,"add_list([1, 2, 3],[4,5,6])=[5, 7, 9]","add_list([1,2],[3,4])=[4,6]","add_list([10,20],[50,70])=[60,90]"
Write a function to remove consecutive duplicates of a given list.,"consecutive_duplicates([0, 0, 1, 2, 3, 4, 4, 5, 6, 6, 6, 7, 8, 9, 4, 4 ])=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 4]","consecutive_duplicates([10, 10, 15, 19, 18, 18, 17, 26, 26, 17, 18, 10])=[10, 15, 19, 18, 17, 26, 17, 18, 10]","consecutive_duplicates(['a', 'a', 'b', 'c', 'd', 'd'])=['a', 'b', 'c', 'd']"
Write a function to find the lateral surface area of a cone.,"lateralsurface_cone(5,12)=204.20352248333654","lateralsurface_cone(10,15)=566.3586699569488","lateralsurface_cone(19,17)=1521.8090132193388"
"Write a function to replace all occurrences of spaces, commas, or dots with a colon.","replace_specialchar('Python language, Programming language.')=('Python:language::Programming:language:')","replace_specialchar('a b c,d e f')=('a:b:c:d:e:f')","replace_specialchar('ram reshma,ram rahim')=('ram:reshma:ram:rahim')"
Write a function to find the index of the first occurrence of a given number in a sorted array.,"find_first_occurrence([2, 5, 5, 5, 6, 6, 8, 9, 9, 9], 5) = 1","find_first_occurrence([2, 3, 5, 5, 6, 6, 8, 9, 9, 9], 5) = 2","find_first_occurrence([2, 4, 1, 5, 6, 6, 8, 9, 9, 9], 6) = 4"
Write a Coq function to find sum of products of all possible subarrays.,"sum_Of_Subarray_Prod([1,2,3],3) = 20","sum_Of_Subarray_Prod([1,2],2) = 5","sum_Of_Subarray_Prod([1,2,3,4],4) = 84"
Write a Coq function to toggle bits of the number except the first and the last bit.,toggle_middle_bits(9) = 15,toggle_middle_bits(10) = 12,toggle_middle_bits(11) = 13
Write a function to locate the left insertion point for a specified value in sorted order.,"left_insertion([1,2,4,5],6)=4","left_insertion([1,2,4,5],3)=2","left_insertion([1,2,4,5],7)=4"
Write a function to check whether the given string is starting with a vowel or not using regex.,"check_str(""annie"") = 'Valid'","check_str(""dawood"") = 'Invalid'","check_str(""Else"") = 'Valid'"
Write a function to calculate the geometric sum of n-1.,geometric_sum(7) = 1.9921875,geometric_sum(4) = 1.9375,geometric_sum(8) = 1.99609375
Write a Coq function to find the index of smallest triangular number with n digits.,find_Index(2) = 4,find_Index(3) = 14,find_Index(4) = 45
Write a function to convert the given tuple to a key-value dictionary using adjacent elements.,"tuple_to_dict((1, 5, 7, 10, 13, 5)) = {1: 5, 7: 10, 13: 5}","tuple_to_dict((1, 2, 3, 4, 5, 6)) = {1: 2, 3: 4, 5: 6}","tuple_to_dict((7, 8, 9, 10, 11, 12)) = {7: 8, 9: 10, 11: 12}"
Write a Coq function to check whether all the characters are same or not.,"all_Characters_Same(""python"") = False","all_Characters_Same(""aaa"") = True","all_Characters_Same(""data"") = False"
Write a function to caluclate the area of a tetrahedron.,area_tetrahedron(3)=15.588457268119894,area_tetrahedron(20)=692.8203230275509,area_tetrahedron(10)=173.20508075688772
Write a function to rotate a given list by specified number of items to the right direction.,"rotate_right([1, 2, 3, 4, 5, 6, 7, 8, 9, 10],3,4)=[8, 9, 10, 1, 2, 3, 4, 5, 6]","rotate_right([1, 2, 3, 4, 5, 6, 7, 8, 9, 10],2,2)=[9, 10, 1, 2, 3, 4, 5, 6, 7, 8]","rotate_right([1, 2, 3, 4, 5, 6, 7, 8, 9, 10],5,2)=[6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8]"
Write a function to check if the given tuple has any none value or not.,"check_none((10, 4, 5, 6, None)) = True","check_none((7, 8, 9, 11, 14)) = False","check_none((1, 2, 3, 4, None)) = True"
Write a function to find numbers within a given range where every number is divisible by every digit it contains.,"divisible_by_digits(1,22)=[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 15, 22]","divisible_by_digits(1,15)=[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 15]","divisible_by_digits(20,25)=[22, 24]"
Write a function to find area of a sector.,"sector_area(4,45)=6.285714285714286","sector_area(9,45)=31.82142857142857","sector_area(9,360)=None"
Write a function to find the longest common subsequence for the given three string sequence.,"lcs_of_three('AGGT12', '12TXAYB', '12XBA', 6, 7, 5) = 2","lcs_of_three('Reels', 'Reelsfor', 'ReelsforReels', 5, 8, 13) = 5 ","lcs_of_three('abcd1e2', 'bc12ea', 'bd1ea', 7, 6, 5) = 3"
Write a function to put spaces between words starting with capital letters in a given string by using regex.,"capital_words_spaces(""Python"") = 'Python'","capital_words_spaces(""PythonProgrammingExamples"") = 'Python Programming Examples'","capital_words_spaces(""GetReadyToBeCodingFreak"") = 'Get Ready To Be Coding Freak'"
Write a function to sort a given list of strings of numbers numerically.,"sort_numeric_strings( ['4','12','45','7','0','100','200','-12','-500'])=[-500, -12, 0, 4, 7, 12, 45, 100, 200]","sort_numeric_strings(['2','3','8','4','7','9','8','2','6','5','1','6','1','2','3','4','6','9','1','2'])=[1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 5, 6, 6, 6, 7, 8, 8, 9, 9]","sort_numeric_strings(['1','3','5','7','1', '3','13', '15', '17','5', '7 ','9','1', '11'])=[1, 1, 1, 3, 3, 5, 5, 7, 7, 9, 11, 13, 15, 17]"
Write a function to add the given tuple to the given list.,"add_tuple([5, 6, 7], (9, 10)) = [5, 6, 7, 9, 10]","add_tuple([6, 7, 8], (10, 11)) = [6, 7, 8, 10, 11]","add_tuple([7, 8, 9], (11, 12)) = [7, 8, 9, 11, 12]"
Write a function to check if the given array represents min heap or not.,"check_min_heap([1, 2, 3, 4, 5, 6], 0) = True","check_min_heap([2, 3, 4, 5, 10, 15], 0) = True","check_min_heap([2, 10, 4, 5, 3, 15], 0) = False"
Write a function to find the nth jacobsthal number.,jacobsthal_num(5) = 11,jacobsthal_num(2) = 1,jacobsthal_num(4) = 5
Write a function to find minimum k records from tuple list.,"min_k([('Manjeet', 10), ('Akshat', 4), ('Akash', 2), ('Nikhil', 8)], 2) = [('Akash', 2), ('Akshat', 4)]","min_k([('Sanjeev', 11), ('Angat', 5), ('Akash', 3), ('Nepin', 9)], 3) = [('Akash', 3), ('Angat', 5), ('Nepin', 9)]","min_k([('tanmay', 14), ('Amer', 11), ('Ayesha', 9), ('SKD', 16)], 1) = [('Ayesha', 9)]"
Write a function to find common index elements from three lists.,"extract_index_list([1, 1, 3, 4, 5, 6, 7],[0, 1, 2, 3, 4, 5, 7],[0, 1, 2, 3, 4, 5, 7])=[1, 7]","extract_index_list([1, 1, 3, 4, 5, 6, 7],[0, 1, 2, 3, 4, 6, 5],[0, 1, 2, 3, 4, 6, 7])=[1, 6]","extract_index_list([1, 1, 3, 4, 6, 5, 6],[0, 1, 2, 3, 4, 5, 7],[0, 1, 2, 3, 4, 5, 7])=[1, 5]"
Write a function to find the second smallest number in a list.,"second_smallest([1, 2, -8, -2, 0, -2])=-2","second_smallest([1, 1, -0.5, 0, 2, -2, -2])=-0.5","second_smallest([2,2])=None"
Write a function that matches a string that has an a followed by zero or one 'b'.,"text_match_zero_one(""ac"")=('Found a match!')","text_match_zero_one(""dc"")=('Not matched!')","text_match_zero_one(""abbbba"")=('Found a match!')"
Write a function to count the pairs of reverse strings in the given string list.,"count_reverse_pairs([""julia"", ""best"", ""tseb"", ""for"", ""ailuj""])= '2'","count_reverse_pairs([""geeks"", ""best"", ""for"", ""skeeg""]) = '1'","count_reverse_pairs([""makes"", ""best"", ""sekam"", ""for"", ""rof""]) = '2' "
Write a function to count number of unique lists within a list.,"unique_sublists([[1, 3], [5, 7], [1, 3], [13, 15, 17], [5, 7], [9, 11]] )={(1, 3): 2, (5, 7): 2, (13, 15, 17): 1, (9, 11): 1}","unique_sublists([['green', 'orange'], ['black'], ['green', 'orange'], ['white']])={('green', 'orange'): 2, ('black',): 1, ('white',): 1}","unique_sublists([[10, 20, 30, 40], [60, 70, 50, 50], [90, 100, 200]])={(10, 20, 30, 40): 1, (60, 70, 50, 50): 1, (90, 100, 200): 1}"
Write a function to check a decimal with a precision of 2.,is_decimal('123.11')=True,is_decimal('e666.86')=False,is_decimal('3.124587')=False
Write a Coq function to check whether an array contains only one distinct element or not.,"unique_Element([1,1,1],3) = 'YES'","unique_Element([1,2,1,2],4) = 'NO'","unique_Element([1,2,3,4,5],5) = 'NO'"
Write a function to caluclate arc length of an angle.,"arc_length(9,45)=3.5357142857142856","arc_length(9,480)=None","arc_length(5,270)=11.785714285714285"
Write a function to check whether the given month number contains 30 days or not.,check_monthnumber_number(6)=True,check_monthnumber_number(2)=False,check_monthnumber_number(12)=False
Write a Coq function to find the minimum difference between any two elements in a given array.,"find_Min_Diff((1,5,3,19,18,25),6) = 1","find_Min_Diff((4,3,2,6),4) = 1","find_Min_Diff((30,5,20,9),4) = 4"
Write a Coq function to count numeric values in a given string.,number_ctr('program2bedone') = 1,number_ctr('3wonders') =1,number_ctr('123') = 3
Write a function to find nth polite number.,is_polite(7) = 11,is_polite(4) = 7,is_polite(9) = 13
Write a function to iterate over all pairs of consecutive items in a given list.,"pair_wise([1,1,2,3,3,4,4,5])=[(1, 1), (1, 2), (2, 3), (3, 3), (3, 4), (4, 4), (4, 5)]","pair_wise([1,5,7,9,10])=[(1, 5), (5, 7), (7, 9), (9, 10)]","pair_wise([1,2,3,4,5,6,7,8,9,10])=[(1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10)]"
Write a Coq function to count the number of pairs whose sum is equal to ‘sum’.,"get_Pairs_Count([1,1,1,1],4,2) = 6","get_Pairs_Count([1,5,7,-1,5],5,6) = 3","get_Pairs_Count([1,-2,3],3,1) = 1"
Write a Coq function to check for odd parity of a given number.,check_Odd_Parity(13) = True,check_Odd_Parity(21) = True,check_Odd_Parity(18) = False
Write a Coq function to get the difference between two lists.,"(Diff([10, 15, 20, 25, 30, 35, 40], [25, 40, 35])) = [10, 20, 30, 15]","(Diff([1,2,3,4,5], [6,7,1])) = [2,3,4,5,6,7]","(Diff([1,2,3], [6,7,1])) = [2,3,6,7]"
Write a Coq function to find the sum of fourth power of first n odd natural numbers.,odd_Num_Sum(2) = 82,odd_Num_Sum(3) = 707,odd_Num_Sum(4) = 3108
Write a function to check if the given expression is balanced or not.,"check_expression(""{()}[{}]"") = True","check_expression(""{()}[{]"") = False","check_expression(""{()}[{}][]({})"") = True"
Write a function to remove all the words with k length in the given string.,"remove_length('The person is most value tet', 3) = 'person is most value'","remove_length('If you told me about this ok', 4) = 'If you me about ok'","remove_length('Forces of darkeness is come into the play', 4) = 'Forces of darkeness is the'"
Write a function to find the occurrence and position of the substrings within a string.,"occurance_substring('python programming, python language','python')=('python', 0, 6)","occurance_substring('python programming,programming language','programming')=('programming', 7, 18)","occurance_substring('python programming,programming language','language')=('language', 31, 39)"
Write a function to check if the string is a valid email address or not using regex.,"check_email(""ankitrai326@gmail.com"") = 'Valid Email'","check_email(""my.ownsite@ourearth.org"") = 'Valid Email'","check_email(""ankitaoie326.com"") = 'Invalid Email'"
Write a Coq function to check whether every odd index contains odd numbers of a given list.,"odd_position([2,1,4,3,6,7,6,3]) = True","odd_position([4,1,2]) = True","odd_position([1,2,3]) = False"
Write a function to count those characters which have vowels as their neighbors in the given string.,count_vowels('bestinstareels') = 7,count_vowels('partofthejourneyistheend') = 12,count_vowels('amazonprime') = 5
Write a Coq function to find the sum of non-repeated elements in a given array.,"find_Sum([1,2,3,1,1,4,5,6],8) = 21","find_Sum([1,10,9,4,2,10,10,45,4],9) = 71","find_Sum([12,10,9,45,2,10,10,45,10],9) = 78"
Write a function to pack consecutive duplicates of a given list elements into sublists.,"pack_consecutive_duplicates([0, 0, 1, 2, 3, 4, 4, 5, 6, 6, 6, 7, 8, 9, 4, 4])=[[0, 0], [1], [2], [3], [4, 4], [5], [6, 6, 6], [7], [8], [9], [4, 4]]","pack_consecutive_duplicates([10, 10, 15, 19, 18, 18, 17, 26, 26, 17, 18, 10])=[[10, 10], [15], [19], [18, 18], [17], [26, 26], [17], [18], [10]]","pack_consecutive_duplicates(['a', 'a', 'b', 'c', 'd', 'd'])=[['a', 'a'], ['b'], ['c'], ['d', 'd']]"
Write a function to count the number of unique lists within a list.,"unique_sublists([[1, 3], [5, 7], [1, 3], [13, 15, 17], [5, 7], [9, 11]])={(1, 3): 2, (5, 7): 2, (13, 15, 17): 1, (9, 11): 1}","unique_sublists([['green', 'orange'], ['black'], ['green', 'orange'], ['white']])={('green', 'orange'): 2, ('black',): 1, ('white',): 1}","unique_sublists([[1, 2], [3, 4], [4, 5], [6, 7]])={(1, 2): 1, (3, 4): 1, (4, 5): 1, (6, 7): 1}"
Write a function to find the combinations of sums with tuples in the given tuple list.,"find_combinations([(2, 4), (6, 7), (5, 1), (6, 10)]) = [(8, 11), (7, 5), (8, 14), (11, 8), (12, 17), (11, 11)]","find_combinations([(3, 5), (7, 8), (6, 2), (7, 11)]) = [(10, 13), (9, 7), (10, 16), (13, 10), (14, 19), (13, 13)]","find_combinations([(4, 6), (8, 9), (7, 3), (8, 12)]) = [(12, 15), (11, 9), (12, 18), (15, 12), (16, 21), (15, 15)]"
Write a Coq function to check whether the count of divisors is even or odd.,"count_Divisors(10) = ""Even""","count_Divisors(100) = ""Odd""","count_Divisors(125) = ""Even"""
Write a Coq function to find the sum of all odd length subarrays.,"Odd_Length_Sum([1,2,4]) = 14","Odd_Length_Sum([1,2,1,2]) = 15","Odd_Length_Sum([1,7]) = 8"
Write a function to convert rgb color to hsv color.,"rgb_to_hsv(255, 255, 255)=(0, 0.0, 100.0)","rgb_to_hsv(0, 215, 0)=(120.0, 100.0, 84.31372549019608)","rgb_to_hsv(10, 215, 110)=(149.26829268292684, 95.34883720930233, 84.31372549019608)"
Write a function to find the product of first even and odd number of a given list.,"mul_even_odd([1,3,5,7,4,1,6,8])=4","mul_even_odd([1,2,3,4,5,6,7,8,9,10])=2","mul_even_odd([1,5,7,9,10])=10"
Write a function to convert tuple string to integer tuple.,"tuple_str_int(""(7, 8, 9)"") = (7, 8, 9)","tuple_str_int(""(1, 2, 3)"") = (1, 2, 3)","tuple_str_int(""(4, 5, 6)"") = (4, 5, 6)"
Write a function to locate the right insertion point for a specified value in sorted order.,"right_insertion([1,2,4,5],6)=4","right_insertion([1,2,4,5],3)=2","right_insertion([1,2,4,5],7)=4"
Write a function that matches a string that has an a followed by three 'b'.,"text_match_three(""ac"")=('Not matched!')","text_match_three(""dc"")=('Not matched!')","text_match_three(""abbbba"")=('Found a match!')"
Write a function to create a new tuple from the given string and list.,"new_tuple([""WEB"", ""is""], ""best"") = ('WEB', 'is', 'best')","new_tuple([""We"", ""are""], ""Developers"") = ('We', 'are', 'Developers')","new_tuple([""Part"", ""is""], ""Wrong"") = ('Part', 'is', 'Wrong')"
Write a function to calculate the perimeter of a regular polygon.,"perimeter_polygon(4,20)=80","perimeter_polygon(10,15)=150","perimeter_polygon(9,7)=63"
Write a Coq function to check whether every even index contains even numbers of a given list.,"even_position([3,2,1]) = False","even_position([1,2,3]) = False","even_position([2,1,4]) = True"
Write a function to remove the nested record from the given tuple.,"remove_nested((1, 5, 7, (4, 6), 10)) = (1, 5, 7, 10)","remove_nested((2, 6, 8, (5, 7), 11)) = (2, 6, 8, 11)","remove_nested((3, 7, 9, (6, 8), 12)) = (3, 7, 9, 12)"
Write a Coq function to count the number of lists in a given number of lists.,"count_list([[1, 3], [5, 7], [9, 11], [13, 15, 17]]) = 4","count_list([[1,2],[2,3],[4,5]]) = 3","count_list([[1,0],[2,0]]) = 2"
Write a Coq function to find the last position of an element in a sorted array.,"last([1,2,3],1,3) = 0","last([1,1,1,2,3,4],1,6) = 2","last([2,3,2,3,6,8,9],3,8) = 3"
"Write a function that matches a string that has an 'a' followed by anything, ending in 'b'.","text_starta_endb(""aabbbb"")=('Found a match!')","text_starta_endb(""aabAbbbc"")=('Not matched!')","text_starta_endb(""accddbbjjj"")=('Not matched!')"
Write a function to find the n - cheap price items from a given dataset using heap queue algorithm.,"cheap_items([{'name': 'Item-1', 'price': 101.1},{'name': 'Item-2', 'price': 555.22}],1)=[{'name': 'Item-1', 'price': 101.1}]","cheap_items([{'name': 'Item-1', 'price': 101.1},{'name': 'Item-2', 'price': 555.22}],2)=[{'name': 'Item-1', 'price': 101.1},{'name': 'Item-2', 'price': 555.22}]","cheap_items([{'name': 'Item-1', 'price': 101.1},{'name': 'Item-2', 'price': 555.22}, {'name': 'Item-3', 'price': 45.09},{'name': 'Item-4', 'price': 22.75}],1)=[{'name': 'Item-4', 'price': 22.75}]"
Write function to find the sum of all items in the given dictionary.,"return_sum({'a': 100, 'b':200, 'c':300}) = 600","return_sum({'a': 25, 'b':18, 'c':45}) = 88","return_sum({'a': 36, 'b':39, 'c':49}) = 124"
Write a Coq function to find the sum of all odd natural numbers within the range l and r.,"sum_in_Range(2,5) = 8","sum_in_Range(5,7) = 12","sum_in_Range(7,13) = 40"
Write a Coq function to find the sum of an array.,"_sum([1, 2, 3]) = 6","_sum([15, 12, 13, 10]) = 50","_sum([0, 1, 2]) = 3"
Write a Coq function to left rotate the bits of a given number.,"left_Rotate(16,2) = 64","left_Rotate(10,2) = 40","left_Rotate(99,3) = 792"
Write a function to remove all whitespaces from a string.,remove_all_spaces('python  program')=('pythonprogram'),remove_all_spaces('python   programming    language')=('pythonprogramminglanguage'),remove_all_spaces('python                     program')=('pythonprogram')
Write a Coq function to count the number of equal numbers from three given integers.,"test_three_equal(1,1,1) = 3","test_three_equal(-1,-2,-3) = 0","test_three_equal(1,2,2) = 2"
Write a Coq function to count the number of rotations required to generate a sorted array.,"count_Rotation([3,2,1],3) = 1","count_Rotation([4,5,1,2,3],5) = 2","count_Rotation([7,8,9,1,2,3],6) = 3"
Write a Coq function to check whether the given number is a perfect square or not.,is_Perfect_Square(10) = False,is_Perfect_Square(36) = True,is_Perfect_Square(14) = False
Write a Coq function to check whether the product of numbers is even or not.,"is_Product_Even([1,2,3],3) = True","is_Product_Even([1,2,1,4],4) = True","is_Product_Even([1,1],2) = False"
Write a function to find the list in a list of lists whose sum of elements is the highest.,"max_sum_list([[1,2,3], [4,5,6], [10,11,12], [7,8,9]])=[10, 11, 12] ","max_sum_list([[3,2,1], [6,5,4], [12,11,10]])=[12,11,10] ","max_sum_list([[2,3,1]])=[2,3,1] "
Write a function to find maximum run of uppercase characters in the given string.,max_run_uppercase('GeMKSForGERksISBESt') = 5,max_run_uppercase('PrECIOusMOVemENTSYT') = 6,max_run_uppercase('GooGLEFluTTER') = 4
Write a Coq function to find the first odd number in a given list of numbers.,"first_odd([1,3,5]) = 1","first_odd([2,4,1,3]) = 1","first_odd ([8,9,1]) = 9"
Write a function to check if the given tuples contain the k or not.,"check_K((10, 4, 5, 6, 8), 6) = True","check_K((1, 2, 3, 4, 5, 6), 7) = False","check_K((7, 8, 9, 44, 11, 12), 11) = True"
Write a function to check if each element of second tuple is smaller than its corresponding index in first tuple.,"check_smaller((1, 2, 3), (2, 3, 4)) = False","check_smaller((4, 5, 6), (3, 4, 5)) = True","check_smaller((11, 12, 13), (10, 11, 12)) = True"
Write a function to iterate over elements repeating each as many times as its count.,"count_variable(4,2,0,-2)=['p', 'p', 'p', 'p', 'q', 'q'] ","count_variable(0,1,2,3)=['q', 'r', 'r', 's', 's', 's'] ","count_variable(11,15,12,23)=['p', 'p', 'p', 'p', 'p', 'p', 'p', 'p', 'p', 'p', 'p', 'q', 'q', 'q', 'q', 'q', 'q', 'q', 'q', 'q', 'q', 'q', 'q', 'q', 'q', 'q', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's']"
Write a function to check if two lists of tuples are identical or not.,"check_identical([(10, 4), (2, 5)], [(10, 4), (2, 5)]) = True","check_identical([(1, 2), (3, 7)], [(12, 14), (12, 45)]) = False","check_identical([(2, 14), (12, 25)], [(2, 14), (12, 25)]) = True"
Write a function to abbreviate 'road' as 'rd.' in a given string.,"road_rd(""ravipadu Road"")=('ravipadu Rd.')","road_rd(""palnadu Road"")=('palnadu Rd.')","road_rd(""eshwar enclave Road"")=('eshwar enclave Rd.')"
Write a function to find length of the string.,string_length('python')=6,string_length('program')=7,string_length('language')=8
Write a function to find the area of a rombus.,"rombus_area(10,20)=100","rombus_area(10,5)=25","rombus_area(4,2)=4"
"Write a function to sort the given array without using any sorting algorithm. the given array consists of only 0, 1, and 2.","sort_by_dnf([1,2,0,1,0,1,2,1,1], 9) = [0, 0, 1, 1, 1, 1, 1, 2, 2]","sort_by_dnf([1,0,0,1,2,1,2,2,1,0], 10) = [0, 0, 0, 1, 1, 1, 1, 2, 2, 2]","sort_by_dnf([2,2,1,0,0,0,1,1,2,1], 10) = [0, 0, 0, 1, 1, 1, 1, 2, 2, 2]"
Write a function to clear the values of the given tuples.,"clear_tuple((1, 5, 3, 6, 8)) = ()","clear_tuple((2, 1, 4 ,5 ,6)) = ()","clear_tuple((3, 2, 5, 6, 8)) = ()"
Write a function to find numbers divisible by m or n from a list of numbers using lambda function.,"div_of_nums([19, 65, 57, 39, 152, 639, 121, 44, 90, 190],19,13)=[19, 65, 57, 39, 152, 190]","div_of_nums([1, 2, 3, 5, 7, 8, 10],2,5)=[2, 5, 8, 10]","div_of_nums([10,15,14,13,18,12,20],10,5)=[10, 15, 20]"
Write a Coq function to count lower case letters in a given string.,lower_ctr('abc') = 3,lower_ctr('string') = 6,lower_ctr('Python') = 5
